Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ватаманюк,Святослава,Вікторівна,female,1961-05-14,Офіс-менеджер,хутір Барвінкове,"провулок Альпіністів, буд. 071, Новоселиця, 83777",+380 08 208-68-38,sgerega@example.org
Ніколюк,Анастасія,Петрівна,female,1972-08-21,Архітектор,село Синельникове,"шосе Сумський, буд. 4 кв. 013, Радомишль, 27004",+380 12 807-12-74,ruslanchumachenko@example.org
Скиба,Венедикт,Геннадійович,male,1952-10-14,Менеджер з закупівель,селище Новий Калинів,"узвіз Металістів, буд. 23, Новомосковськ, 36920",865 32 66,solomon23@example.org
Гаврюшенко,Єва,Зеновіївна,female,1999-02-14,Бухгалтер,селище Миронівка,"провулок Аркадіївський, буд. 504 кв. 3, Великі Мости, 84906",+380 81 996 61 10,jvitruk@example.net
Байдак,Богуслава,Олександрівна,female,1986-11-22,Фінансовий аналітик,село Апостолове,"провулок Васнецова, буд. 0, Сорокине, 43636",+380 (44) 006-15-59,azarnestaiko@example.com
Данилюк,Євген,Юрійович,male,1943-11-22,Архітектор,селище Чистякове,"вулиця Леонова, буд. 92, Кодима, 53128",087 863-00-95,heorhii67@example.com
Лаба,Леонтій,Геннадійович,male,2007-03-04,Асистент керівника,селище Селидове,"шосе Спиридонівська, буд. 572 кв. 6, Чугуїв, 77741",+380 73 877-95-10,mcherinko@example.org
Фартушняк,Еріка,Іванівна,female,1977-01-15,Менеджер з маркетингу,селище Вільнянськ,"набережна Балківська, буд. 893, Баранівка, 30300",+380 (03) 386-01-57,fedir51@example.net
Шухевич,Борислав,Романович,male,1971-08-03,PR-менеджер,хутір Березівка,"провулок Будівельний, буд. 543 кв. 8, Куп'янськ, 50368",064 657-65-05,onysymlahoda@example.net
Бабій,Пріска,Михайлівна,female,2007-06-06,Системний адміністратор,селище Бахмач,"узвіз Світанку, буд. 56, Подільськ, 73102",+380 (38) 568-99-64,turkalosviatoslav@example.com
Симоненко,Альбіна,Петрівна,female,1941-04-01,Фінансовий аналітик,хутір Герца,"провулок Амурський 4-й, буд. 54, Євпаторія, 67624",+380 67 857 91 94,zatovkaniukvasylyna@example.com
Лукаш,Степан,Володимирович,male,1944-02-10,Програміст,хутір Любомль,"шосе Лінія 42-га, буд. 0, Белз, 92836",088 829-31-31,babychenkoostap@example.org
Жайворон,Пилип,Данилович,male,1943-11-01,Асистент керівника,селище Жовква,"парк Слави, буд. 011 кв. 0, Мукачево, 38447",+380 (78) 526-89-30,pavlo32@example.net
Ющенко,Борис,Захарович,male,1952-09-20,Фінансовий аналітик,село Іллінці,"сквер Промисловий, буд. 99, Броди, 03207",096 865 50 75,khrystyna07@example.org
Голик,Леон,Ярославович,male,1938-11-29,Аналітик даних,хутір Знам'янка,"вулиця Лиманчик 2-й Лінія 1-ша, буд. 32 кв. 4, Пустомити, 23168",+380 48 280-35-61,zpavlychenko@example.org
Євтушенко,Оксенія,Олексіївна,female,1942-11-24,Менеджер з продажу,хутір Чорнобиль,"вулиця Степана Разіна, буд. 44, Мирноград, 27379",096 184 80 78,bvysochan@example.com
Бабариченко,Клавдія,Кирилівна,female,1955-04-11,Тестувальник,селище Новий Калинів,"парк Лінія 26-та, буд. 1 кв. 3, Докучаєвськ, 72573",055 338-53-71,nnehoda@example.com
Гайдамака,Стефан,Юрійович,male,1948-01-22,Архітектор,хутір Географія Вільнянська,"парк 1-ша Суворовська, буд. 9 кв. 234, Борзна, 69123",+380 48 588-78-95,artemhavrysh@example.org
Лисенко,Дмитро,Вікторович,male,1995-11-17,Архітектор,місто Українськ,"провулок Орликова, буд. 178 кв. 2, Дубровиця, 18946",021 653-92-42,svernyhora@example.org
Полтавець,Мирослав,Зеновійович,male,1984-11-29,Тестувальник,селище Ананьїв,"вулиця Трояндова, буд. 598, Феодосія, 56623",065-49-18,zakharenkovalentyn@example.com
Артюшенко,Соломон,Романович,male,1951-12-01,Інженер з якості,хутір Дніпрорудне,"провулок 5-та Лінія Марії Демченко, буд. 217 кв. 841, Тернопіль, 14418",033 233 86 58,kyrylodanylchuk@example.org
Гайда,Назар,Данилович,male,1971-04-07,Дизайнер,селище Копичинці,"площа Світлий, буд. 418 кв. 356, Олександрія, 02808",412 77 83,adamchukalbina@example.org
Дейнека,Ігнат,Зеновійович,male,1981-04-24,Менеджер з продажу,місто Корсунь-Шевченківський,"вулиця Флотський 4-й, буд. 774 кв. 36, Ясинувата, 92851",044 00 90,vshylo@example.net
Терещук,Віолетта,Борисівна,female,1989-02-26,Менеджер з маркетингу,селище Гірське,"набережна Кристаловського, буд. 417, Миколаїв, 35860",+380 39 789-28-46,verkhovynetsokhrim@example.net
Дуплій,Віра,Захарівна,female,1990-08-16,Архітектор,хутір Долинська,"проспект Водопровідна, буд. 89 кв. 356, Торецьк, 35339",492 43 43,mbaklan@example.com
Сиротенко,Демид,Андрійович,male,1968-09-07,Тестувальник,селище Рогатин,"вулиця Житомирський 4-й, буд. 1 кв. 959, Васильків, 60101",+380 82 370 02 56,vladyslavhres@example.net
Піддубний,Святослав,Захарович,male,1953-07-13,Асистент керівника,хутір Сновськ,"набережна 1-ша Лінія Марії Демченко, буд. 90 кв. 346, Залізне, 07507",037 969-59-78,fderhach@example.net
Воблий,Гаврило,Назарович,male,2003-04-30,Менеджер з продукту,хутір Тетіїв,"сквер Донецька, буд. 429 кв. 1, Гнівань, 05058",+380 53 199 65 24,malykdavyd@example.net
Баранець,Марʼяна,Григоріївна,female,1978-11-03,Аудитор,селище Самбір,"парк Проектна 1-ша, буд. 5, Карлівка, 61810",+380 74 054-51-15,iefrem00@example.org
Акуленко,Адам,Борисович,male,1989-02-21,Системний адміністратор,село Славута,"сквер Нерубайська, буд. 396, Старокостянтинів, 53580",024 489-15-90,orkhypskoryk@example.org
Шовкопляс,Едуард,Кирилович,male,1992-01-22,HR-менеджер,місто Семенівка,"вулиця Миколаївський 1-й, буд. 0, Калинівка , 99982",221-33-21,darynavlokh@example.org
Єрмоленко,Симон,Остапович,male,1976-10-14,Менеджер з продажу,селище Дубровиця,"шосе Скляна, буд. 3, Хотин, 83379",329-80-13,dan84@example.net
Гресь,Данило,Остапович,male,1953-07-29,Програміст,місто Очаків,"провулок Аеродромний 1-й, буд. 4, Заставна, 71516",012 627-86-84,tetiana14@example.org
Гузій,Лілія,Костянтинівна,female,1978-07-06,Дизайнер,селище Миколаївка ,"набережна Неплія, буд. 268, Родинське, 26686",+380 89 663 12 38,alevtynshevchenko@example.com
Тихий,Анастасія,Назарівна,female,1991-06-19,Асистент керівника,село Новий Буг,"провулок Кренкеля, буд. 683, Сватове, 73110",306 22 73,vorlyk@example.com
Пʼятаченко,Богуслав,Станіславович,male,1965-10-08,Програміст,селище Благовіщенське,"вулиця Суворовська, буд. 8 кв. 17, Звенигородка, 74428",735 63 17,symon72@example.com
Забара,Соломія,Григоріївна,female,1988-11-04,Аудитор,селище Суми,"провулок Зоринська, буд. 588 кв. 30, Володимир-Волинський, 24370",747 80 11,gzatula@example.org
Шаблій,Марина,Федорівна,female,1946-07-11,Асистент керівника,селище Вашківці,"парк Морська, буд. 11, Ніжин, 39211",+380 02 680-54-24,amaliia19@example.net
Іщенко,Мартин,Назарович,male,1967-07-13,HR-менеджер,місто Харцизьк,"проспект Абрикосова, буд. 573, Донецьк, 72780",+380 40 507-84-76,stefanudovenko@example.org
Аронець,Данило,Геннадійович,male,1956-05-01,HR-менеджер,село Петрово-Красносілля,"сквер Псковська, буд. 0, Зборів, 18474",071 330-29-19,avhustynkhudiak@example.com
Дацюк,Марія,Євгенівна,female,1944-06-09,Тестувальник,місто Олевськ,"площа Деревообробний 1-й, буд. 84 кв. 6, Рівне, 76964",810 57 68,romanchukavrelii@example.org
Рубан,Христина,Павлівна,female,1991-10-27,Аналітик даних,місто Чуднів,"шосе Гагаріна, буд. 3, Олександрія, 24600",+380 (37) 578-45-80,prytulaprokhir@example.com
Христенко,Богодар,Остапович,male,1974-05-12,Фінансовий аналітик,селище Новомиргород,"шосе Ковалевського узвіз, буд. 123, Карлівка, 29833",097 116-99-47,kolisnychenkoomelian@example.org
Рубець,Степан,Кирилович,male,1995-03-15,Системний адміністратор,селище Горохів,"вулиця Венгера, буд. 7 кв. 064, Буча, 33415",996 93 80,oskoryk@example.com
Заєць,Вікторія,Кирилівна,female,2001-06-17,PR-менеджер,хутір Старокостянтинів,"набережна Степана Олійника узвіз, буд. 1 кв. 103, Рогатин, 41303",091 898 20 34,borys39@example.org
Журавель,Дмитро,Петрович,male,1964-11-06,Архітектор,селище Львів,"сквер Пантелеймонівська, буд. 0 кв. 833, Чернігів, 47428",+380 56 083-10-74,xfastenko@example.com
Івасюк,Азар,Денисович,male,1998-10-21,Кадровий менеджер,хутір Умань,"набережна Трамвайна, буд. 42 кв. 925, Херсон, 83699",+380 46 383-31-84,amvrosiiiurchyshyn@example.net
Журба,Марія,Леонідівна,female,1982-04-20,Програміст,хутір Старобільськ,"провулок Лінія 30-та, буд. 04, Федорівка, 92035",+380 32 509 34 14,lemeshkovalerii@example.net
Тесля,Микита,Володимирович,male,1994-07-19,Кадровий менеджер,селище Сорокине,"сквер Шептицікого, буд. 6, Кролевець, 67402",+380 37 531 02 17,mykhailynahaivoronskyi@example.org
Сірченко,Зорян,Денисович,male,1975-11-29,Менеджер з маркетингу,село Черкаси,"узвіз Яблочкіної, буд. 653 кв. 022, Гребінка, 20471",485-43-55,petliurasymon@example.org
Андрощук,Леонід,Костянтинович,male,2000-12-14,Аналітик даних,хутір Тальне,"набережна Аркадіївський, буд. 15 кв. 2, Васильків, 98483",206 91 77,olifirenkofrants@example.com
Чумак,Пантелеймон,Михайлович,male,1971-12-09,Офіс-менеджер,хутір Люботин,"проспект Хімічний 1-й, буд. 37 кв. 131, Узин, 77100",+380 32 065-75-13,zabaraprokhir@example.com
Кибкало,Леонтій,Сергійович,male,1939-08-14,Архітектор,село Лохвиця,"шосе Ползунова 2-й, буд. 5 кв. 529, Ізмаїл, 18804",697 75 50,vasylyna36@example.org
Худобʼяк,Леонтій,Мар'янович,male,2001-12-20,PR-менеджер,село Сокаль,"площа Шилова, буд. 5 кв. 5, Карлівка, 72890",+380 41 436-20-93,hanna77@example.com
Джус,Олександр,Станіславович,male,1951-08-17,Тестувальник,місто Дружба ,"парк Фабрична, буд. 042, Борзна, 26502",079 695 42 32,oksana51@example.com
Носенко,Франц,Романович,male,1997-03-21,Програміст,село Рудки,"узвіз Яблучна, буд. 48 кв. 99, Лебедин, 02757",+380 (07) 134-85-91,kshamrai@example.com
Шаповал,Богодар,Давидович,male,1942-11-15,Менеджер з маркетингу,місто Новогродівка,"вулиця Строганов міст, буд. 042, Кобеляки, 17213",501 18 86,abramenkotymofii@example.net
Єфименко,Микита,Кирилович,male,1963-08-28,Аудитор,село Васильків,"парк Станційна 3-тя, буд. 257, Борислав, 42580",+380 05 730-53-96,arkadiimiroshnychenko@example.org
Павличенко,Ігнат,Максимович,male,2002-08-18,Менеджер з продажу,хутір Гайворон,"сквер Шоста, буд. 89 кв. 854, Верхівцеве, 58855",047 122 17 97,maksym14@example.org
Вакуленко,Галина,Зеновіївна,female,1987-11-15,Фінансовий аналітик,місто Буринь,"узвіз Віцеадмірала Азарова, буд. 180, Тростянець, 95962",139-17-85,iustynakhomyk@example.net
Вдовиченко,Емілія,Ярославівна,female,1948-09-14,Копірайтер,місто Болград,"сквер Манежний, буд. 5, Сокиряни, 64216",+380 (88) 894-16-34,baranykvalentyn@example.com
Акуленко,Христина,Григоріївна,female,1981-11-24,Бухгалтер,місто Яворів,"площа Металістів, буд. 9, Кам'янка-Бузька, 23041",+380 (08) 793-85-96,vilchenko@example.com
Худобʼяк,Пріска,Олексіївна,female,1949-06-23,Копірайтер,селище Мукачево,"вулиця Дунаєвського, буд. 0 кв. 6, Армянськ, 45347",522 93 01,vitaliifastenko@example.org
Бевз,Ганна,Тимофіївна,female,1942-10-16,Дизайнер,село Судак ,"вулиця Гаршина, буд. 31, Тараща, 45598",039 542 90 52,gbakumenko@example.org
Конопленко,Адам,Андрійович,male,1980-11-11,Менеджер з маркетингу,селище Марганець ,"парк Водний, буд. 1 кв. 62, Сокаль, 02754",009 429-54-68,clupii@example.com
Приходько,Василь,Юрійович,male,2006-08-23,Бухгалтер,хутір Вовчанськ,"узвіз Щоголєва, буд. 89, Енергодар, 09316",+380 (05) 597-88-34,chaida@example.com
Чарниш,Пантелеймон,Кирилович,male,1980-02-26,Менеджер з закупівель,хутір Іловайськ,"сквер Адміральський, буд. 4, Вишгород, 81766",055 259 55 38,hvernydub@example.org
Товстуха,Кирило,Юрійович,male,1954-03-28,Системний адміністратор,селище Берислав,"вулиця Нескучна, буд. 14, Чуднів, 92136",+380 34 577-07-47,kshevchenko@example.org
Бабенко,Дмитро,Максимович,male,1979-07-25,Менеджер з маркетингу,селище Алупка,"набережна Виставочна, буд. 778, Синельникове, 10472",096 961-76-27,myronkovaliuk@example.org
Фаренюк,Юстина,Леонідівна,female,1947-06-09,Асистент керівника,село Донецьк,"провулок Небесної Сотні, буд. 25, Кремінна, 34492",+380 38 916 71 64,uzhadan@example.com
Шеремет,Дарина,Михайлівна,female,1964-06-18,Фінансовий аналітик,село Біляївка,"проспект Вапняне селище, буд. 73, Теребовля, 03114",+380 43 437 08 98,mykhailyna80@example.org
Саченко,Аарон,Григорійович,male,1975-12-13,Кадровий менеджер,село Новоазовськ,"провулок 11-та Суворовська, буд. 42 кв. 1, Олешки, 59565",084 194 13 10,dakhnoanzhela@example.org
Лукаш,Альберт,Юрійович,male,1971-08-07,Дизайнер,село Шепетівка,"набережна Лінійна, буд. 100 кв. 03, Хирів, 43077",692 25 72,lvertyporokh@example.com
Приймак,Леонтій,Данилович,male,2001-02-11,PR-менеджер,місто Вовчанськ,"вулиця Академіка Ясиновського, буд. 8, Білозерське, 91443",+380 93 278-38-13,haidamakaalbert@example.net
Корбут,Ольга,Назарівна,female,1996-01-06,Фінансовий аналітик,селище Мукачево,"провулок Лінія 31-ша, буд. 426 кв. 170, Скалат, 31160",086 953 66 02,iakivkorbut@example.com
Пʼятаченко,Максим,Костянтинович,male,2005-04-26,Системний адміністратор,селище Рогатин,"шосе Чорноморський 12-й, буд. 615, Міусинськ, 46879",204-12-59,tykhyiliudmyla@example.org
Гупало,Миколай,Петрович,male,1948-07-02,Менеджер з закупівель,селище Інкерман,"парк Ламаний, буд. 95, Зміїв, 01189",174 47 23,volodymyr50@example.net
Гресь,Єлисавета,Костянтинівна,female,1947-01-02,Дизайнер,село Бахчисарай,"проспект Омська, буд. 1 кв. 443, Богодухів, 97635",+380 (41) 918-43-17,vitalii64@example.net
Тесля,Амвросій,Мар'янович,male,1941-04-11,Менеджер з продажу,селище Кам'янець-Подільський,"вулиця Єліна, буд. 7, Вільногірськ, 32430",037 899 59 02,prokhirabrahamovskyi@example.com
Андрійчук,Георгій,Вікторович,male,1986-08-29,Менеджер з маркетингу,селище Ямпіль,"провулок Кишинівська, буд. 5, Білицьке, 15410",037 866 25 12,aaronoberemko@example.org
Чумак,Дарина,Денисівна,female,1948-12-08,Асистент керівника,місто Золоте,"площа Жасминна, буд. 77, Яворів, 92408",145-34-99,orestperepelytsia@example.org
Худяк,Ярема,Мар'янович,male,1946-04-10,HR-менеджер,місто Дрогобич,"шосе Калинова, буд. 94 кв. 0, Судова Вишня, 83973",+380 76 339 97 56,halyna54@example.org
Хорішко,Максим,Григорійович,male,2004-05-23,Фінансовий аналітик,хутір Копичинці,"парк Виноградна 2-га, буд. 687 кв. 835, Бердичів, 86825",+380 (20) 434-16-02,iaremkivstepan@example.org
Скирда,Артем,Остапович,male,1982-02-21,Копірайтер,місто Суми,"шосе Леонтовича, буд. 70, Скалат, 58364",637-86-94,chabanalevtyn@example.org
Михалюк,Лесь,Олександрович,male,1988-12-11,Програміст,селище Трускавець,"сквер Сливова, буд. 09, Чорнобиль, 16745",035 020-91-82,marynavanchenko@example.org
Пустовіт,Олесь,Мар'янович,male,1950-08-24,Фінансовий аналітик,селище Гнівань,"шосе Виноградна 3-тя, буд. 9, Здолбунів, 37760",+380 (91) 706-50-22,maryna69@example.net
Жук,Тереза,Давидівна,female,1938-08-02,Дизайнер,місто Монастириська,"сквер Державіна, буд. 66 кв. 196, Борзна, 80079",+380 26 186 75 25,ialekseienko@example.net
Талан,Мартин,Іванович,male,1966-08-21,Офіс-менеджер,місто Докучаєвськ,"площа Гвоздична, буд. 453 кв. 36, Привілля, 50331",+380 75 314-51-76,nosenkobohdanna@example.org
Кабалюк,Мартин,Данилович,male,1998-10-25,Аудитор,місто Надвірна,"шосе Балківська, буд. 07 кв. 05, Апостолове, 41847",033 403 97 76,nestormishchenko@example.com
Теліженко,Орися,Костянтинівна,female,1996-05-28,Інженер з якості,селище Кремінна,"площа Лізи Чайкіної, буд. 46 кв. 76, Кодима, 51795",069 595-32-70,ogereta@example.net
Мазепа,Лесь,Григорійович,male,1968-10-23,Копірайтер,село Білогірськ,"провулок Альпіністів, буд. 44, Горохів, 36831",069 878 17 42,babiidemyd@example.net
Ажажа,Микита,Зеновійович,male,1957-06-07,HR-менеджер,селище Кам'янка (Черкаська область),"провулок Обільна, буд. 21 кв. 672, Бахмут, 83981",+380 (83) 306-00-23,drobiazkoarkadii@example.net
Корпанюк,Амвросій,Сергійович,male,1975-08-20,Тестувальник,хутір Корюківка,"набережна Каштанова, буд. 720 кв. 513, Токмак, 16493",026 781 22 15,illia43@example.net
Масоха,Володимир,Юрійович,male,1978-06-22,Архітектор,село Армянськ,"узвіз Гаршина, буд. 6, Лубни, 80408",+380 29 407-74-20,allaradchenko@example.net
Бевзенко,Мирослав,Андрійович,male,1976-06-27,Копірайтер,місто Самбір,"набережна Юрія Олеші, буд. 471 кв. 622, Ічня, 48535",075 626-14-45,udovychenkovira@example.com
Мазепа,Пантелеймон,Володимирович,male,1991-12-24,Асистент керівника,селище Бережани,"шосе Салтикова-Щедріна, буд. 9 кв. 62, Радехів, 27395",380-13-15,anzhela86@example.com
Сіробаба,Ярослава,Олексіївна,female,1997-12-22,Копірайтер,хутір Вознесенівка,"узвіз Маяковського, буд. 52, Бобровиця, 60341",235-28-63,prykhodkoamvrosii@example.net
Фастенко,Єва,Остапівна,female,1943-05-30,Аудитор,село Васильків,"проспект Іванівська, буд. 593 кв. 35, Олевськ, 26862",795-42-40,orestkonoplenko@example.org
Зубко,Іван,Ярославович,male,1973-07-15,Кадровий менеджер,село Єнакієве,"вулиця Житомирський 4-й, буд. 2 кв. 46, Берегове, 28272",164 49 78,drozdenkozakhar@example.net
Піддубний,Христина,Олексіївна,female,1984-09-01,Менеджер з продажу,місто Андрушівка,"шосе Садиковська, буд. 53 кв. 8, Семенівка, 55235",018 303 95 76,satsiuknataliia@example.net
Бевз,Микита,Олександрович,male,1993-06-20,Аудитор,хутір Сєвєродонецьк,"проспект Інтернаціональний, буд. 250 кв. 97, Білицьке, 44127",050 422 23 38,pylyp05@example.org
Дергач,Оксана,Сергіївна,female,1995-03-29,Бухгалтер,хутір Зугрес,"узвіз Миколи Бажана, буд. 00 кв. 4, Дубляни, 14834",+380 90 606-86-48,kolesnychenkohordii@example.org
Ємельяненко,Гордій,Кирилович,male,1952-01-12,Системний адміністратор,хутір Горлівка,"провулок Тополиний, буд. 9 кв. 37, Долинська, 15841",+380 08 492 46 52,hduplii@example.net
Затовканюк,Яків,Тарасович,male,1940-05-31,Бухгалтер,хутір Лубни,"проспект Левітана, буд. 11, Родинське, 49934",479-18-07,kanivetsstanislav@example.net
Аверченко,Лариса,Олегівна,female,1961-09-26,Менеджер з продукту,селище Новий Розділ,"парк Хімічна, буд. 297, Хмільник, 17776",+380 88 712 04 86,oksananalyvaiko@example.net
Бевзенко,Юстина,Тарасівна,female,1953-08-07,Офіс-менеджер,селище Кодима,"площа Лузанівка, буд. 219 кв. 03, Підгайці, 86824",+380 (12) 053-14-43,kamillabandurka@example.com
Верховинець,Олег,Ярославович,male,1993-06-09,Асистент керівника,село Богуслав,"вулиця Аеропортівський 6-й, буд. 5, Рівне, 54199",+380 59 717-56-95,iukhymiurchuk@example.net
Прокопович,Олег,Станіславович,male,1997-03-18,PR-менеджер,село Старий Самбір,"провулок Ширяївський, буд. 08, Дунаївці, 07562",+380 (18) 373-51-42,leontiitarasenko@example.org
Усик,Веніямин,Давидович,male,1945-01-13,Аудитор,селище Суми,"сквер Сухолиманна, буд. 457 кв. 599, П'ятихатки, 58321",+380 73 436-77-43,demydbabiuk@example.com
Палій,Лукʼян,Максимович,male,1948-06-23,Програміст,село Антрацит ,"сквер Керченська, буд. 9 кв. 22, Костянтинівка, 13447",049 178-43-98,jpushkar@example.net
Єрьоменко,Борис,Іванович,male,1997-02-25,Копірайтер,село Тернівка ,"парк Академіка Заболотного, буд. 29 кв. 05, Ізюм, 58602",+380 97 522-39-42,piatachenkoomelian@example.org
Шиян,Орися,Захарівна,female,1982-12-12,Архітектор,селище Київ,"сквер Віцеадмірала Жукова, буд. 532 кв. 1, Коростишів, 89871",+380 (52) 170-23-79,hannakorpaniuk@example.org
Козаченко,Любов,Андріївна,female,1996-11-19,Аналітик даних,місто Красноперекопськ,"провулок Лінія 44-та, буд. 3 кв. 8, Ладижин, 44514",015 066 83 41,havryshonysym@example.net
Вертипорох,Віктор,Костянтинович,male,1997-03-22,Аудитор,хутір Миколаїв,"набережна Демократична, буд. 88 кв. 7, Чигирин, 66384",+380 92 120-55-78,zhuchenkodmytro@example.com
Романчук,Емілія,Володимирівна,female,1976-06-10,Дизайнер,село Снігурівка,"вулиця Виноградна 3-тя, буд. 08, Шахтарськ, 71038",004 480 50 86,vderkach@example.net
Джунь,Мартин,Васильович,male,1949-12-27,Менеджер з продажу,місто Тернівка ,"сквер 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 500 кв. 573, Герца, 60179",+380 36 947-93-71,avhustynbabarychenko@example.net
Шамрай,Хома,Назарович,male,1963-02-16,Інженер з якості,місто Дніпрорудне,"вулиця Лінія 53-тя, буд. 64, Підгородне, 16083",038 534 55 52,qstets@example.org
Тимчук,Василина,Ігорівна,female,1961-04-12,Системний адміністратор,село Луцьк,"вулиця Розумовський 2-й, буд. 0 кв. 3, Пустомити, 85495",+380 70 381 51 26,goliashles@example.org
Вдовиченко,Тереза,Юріївна,female,1968-12-31,Кадровий менеджер,хутір Умань,"вулиця 15-та ст. Великого Фонтану пляж, буд. 89 кв. 4, Кобеляки, 94089",087 296-93-30,hvlokh@example.org
Приходько,Богуслава,Ігорівна,female,1960-09-28,Архітектор,місто Привілля,"набережна Кедровий, буд. 97 кв. 92, Дунаївці, 05352",091 890 14 19,bohuslavabarabash@example.net
Чаленко,Андрій,Марківич,male,1961-07-11,Менеджер з маркетингу,хутір Турка,"провулок Авангардна, буд. 6 кв. 998, Краматорськ, 40033",820-71-28,baranykavhustyn@example.net
Балабан,Феофан,Григорійович,male,1991-04-27,Копірайтер,хутір Новоукраїнка,"узвіз Шевченка, буд. 46 кв. 508, Городня, 02598",+380 00 160-27-07,ielyseichekaliuk@example.org
Назаренко,Нестор,Ігорович,male,1945-12-03,Копірайтер,селище Кобеляки,"набережна Соборна, буд. 5 кв. 71, Сміла, 96741",072 752-23-85,babkoopanas@example.com
Верменич,Давид,Костянтинович,male,1974-09-03,Офіс-менеджер,село Бердичів,"парк Одарія, буд. 46 кв. 12, Нова Каховка, 75783",015 477-45-57,zasenkodanna@example.org
Андрієвич,Михайло,Федорович,male,1969-02-10,PR-менеджер,хутір Миргород,"шосе Троїцького Миколи, буд. 987, Кремінна, 24707",474 76 33,rmykhailiuk@example.net
Засенко,Ганна,Назарівна,female,1950-09-02,HR-менеджер,місто Могилів-Подільський,"проспект Західний 3-й, буд. 56 кв. 2, Немирів, 02096",020 768 77 56,qfesenko@example.org
Тичина,Ада,Зеновіївна,female,1981-04-19,Аналітик даних,село Охтирка,"сквер Старопортофранківська, буд. 58, Новодружеськ, 82434",+380 82 522 39 77,cdankiv@example.org
Єременко,Святослава,Ярославівна,female,1988-05-11,Архітектор,селище Горішні Плавні,"вулиця Горбиста, буд. 78 кв. 03, Джанкой, 65864",+380 05 273-48-49,yhavriushenko@example.net
Приймак,Ада,Тимофіївна,female,2000-02-14,Системний адміністратор,селище Коломия,"площа Генуезька, буд. 02, Березань , 81677",090 868-47-57,klymentaleksiuk@example.net
Гунько,Амвросій,Олексійович,male,2006-12-04,Системний адміністратор,село Сокиряни,"набережна Каманіна, буд. 97 кв. 713, Залізне, 09821",+380 14 208 41 01,larysa54@example.net
Негода,Валентина,Марківна,female,2005-01-13,Системний адміністратор,місто Люботин,"проспект Творча, буд. 63 кв. 1, Південне , 84592",082 927 38 16,prykhodkohlib@example.org
Жарко,Марко,Геннадійович,male,1998-01-20,Копірайтер,село Новодружеськ,"площа 21-й км Старокиївської дороги, буд. 975, Сколе, 84656",+380 93 009-02-10,marusia66@example.net
Лагода,Богдан,Андрійович,male,1992-11-05,Менеджер з маркетингу,село Ходорів,"площа Овідіопольський, буд. 982 кв. 55, Новоазовськ, 55986",070 474 09 57,emishchenko@example.net
Ватаманюк,Стефан,Іванович,male,1991-06-28,Тестувальник,хутір Дубно,"набережна Овідіопольський, буд. 784, Городок, 77749",+380 16 516-62-57,mykolai76@example.net
Цибуленко,Леонід,Марківич,male,1992-11-15,Менеджер з продажу,місто Зіньків,"сквер Шефська, буд. 4 кв. 03, Нова Одеса, 74203",+380 (98) 563-86-21,revamarusia@example.org
Ковпак,Мирон,Тимофійович,male,1974-06-06,Асистент керівника,місто Хрустальний,"вулиця Академіка Панкратової, буд. 793 кв. 624, Старий Крим, 36134",+380 46 042 35 77,oisaienko@example.net
Бабій,Валерій,Данилович,male,1942-03-06,Менеджер з закупівель,селище Радивилів,"провулок Композитора Глинки, буд. 4 кв. 7, Хотин, 32352",+380 (48) 031-10-00,anastasiia48@example.com
Дробʼязко,Аркадій,Геннадійович,male,1961-08-13,Програміст,селище Нетішин,"сквер Магнітогорський 2-й, буд. 143 кв. 3, Ладижин, 94774",+380 (11) 480-10-24,les24@example.com
Копитко,Гаврило,Євгенович,male,1951-04-26,Дизайнер,хутір Золотоноша,"вулиця Гаванна, буд. 3, Берегове, 82483",+380 (53) 125-03-81,panchukaaron@example.com
Вишиваний,Іван,Зеновійович,male,1951-10-05,Менеджер з закупівель,хутір Нововолинськ,"набережна Дунаєвського, буд. 33 кв. 809, Вознесенськ, 22621",981 21 96,veniiamyntereshchenko@example.net
Фаренюк,Альбіна,Давидівна,female,1992-09-13,Архітектор,селище Першотравенськ,"провулок Моторний 1-й, буд. 3 кв. 92, Сторожинець, 76154",418-73-18,viacheslavkharchenko@example.org
Воблий,Соломон,Сергійович,male,1956-09-18,Аудитор,селище Вугледар,"набережна Бірюкова, буд. 40 кв. 5, Родинське, 32979",+380 04 318-74-35,viktoriialytvyn@example.org
Панчук,Марія,Леонідівна,female,1961-10-08,Менеджер з продукту,селище Дубно,"проспект Рішельєвська, буд. 930 кв. 099, Петрово-Красносілля, 85371",+380 51 785-65-12,haidaarkadii@example.com
Приходько,Ада,Тимофіївна,female,1960-01-05,Інженер з якості,хутір Ніжин,"вулиця Василя Кандинського 1-й, буд. 36, Кагарлик, 55432",+380 82 804-01-87,sbaida@example.org
Ващенко-Захарченко,Миколай,Євгенович,male,1961-09-14,Кадровий менеджер,хутір Жмеринка,"парк Одеса-Головна, буд. 571, Алчевськ, 73729",+380 71 922-26-01,tykhyiostap@example.org
Карпенко,Степан,Григорійович,male,1948-01-05,Архітектор,селище Сєвєродонецьк,"вулиця Південна дорога, буд. 326, Новомосковськ, 73087",079 894 51 87,iaroshustym@example.com
